Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TestSuiteColletion,Chrome 66.0.3359.181,Test1 and Test2,2018-05-30 11:15:02,2018-05-30 11:15:22,19.604s,PASSED
,,,,,,
Test Cases/TestsByTom/Test1ByTom,Chrome 66.0.3359.181,,2018-05-30 11:15:03,2018-05-30 11:15:10,7.896s,PASSED
openBrowser,Chrome 66.0.3359.181,,2018-05-30 11:15:03,2018-05-30 11:15:07,4.098s,PASSED
navigateToUrl,Chrome 66.0.3359.181,,2018-05-30 11:15:07,2018-05-30 11:15:10,2.852s,PASSED
closeBrowser,Chrome 66.0.3359.181,,2018-05-30 11:15:10,2018-05-30 11:15:10,0.695s,PASSED
,,,,,,
Test Cases/TestsByKim/Test2ByKim,Chrome 66.0.3359.181,,2018-05-30 11:15:10,2018-05-30 11:15:17,6.195s,PASSED
openBrowser,Chrome 66.0.3359.181,,2018-05-30 11:15:11,2018-05-30 11:15:16,5.358s,PASSED
closeBrowser,Chrome 66.0.3359.181,,2018-05-30 11:15:16,2018-05-30 11:15:17,0.695s,PASSED
,,,,,,
Test Cases/TestsByTom/Test2ByTom,Chrome 66.0.3359.181,,2018-05-30 11:15:17,2018-05-30 11:15:22,5.191s,PASSED
openBrowser,Chrome 66.0.3359.181,,2018-05-30 11:15:17,2018-05-30 11:15:20,3.199s,PASSED
navigateToUrl,Chrome 66.0.3359.181,,2018-05-30 11:15:20,2018-05-30 11:15:21,1.197s,PASSED
closeBrowser,Chrome 66.0.3359.181,,2018-05-30 11:15:21,2018-05-30 11:15:22,0.679s,PASSED
