Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
EnvironmentsDemo,Firefox 64.0,,2019-01-10 10:46:31,2019-01-10 10:47:10,38.613s,FAILED
,,,,,,
Test Cases/Environments/TC1Env,Firefox 64.0,,2019-01-10 10:46:32,2019-01-10 10:47:09,37.580s,FAILED
"openBrowser("""")",Firefox 64.0,,2019-01-10 10:46:32,2019-01-10 10:46:36,3.845s,PASSED
navigateToUrl(URL),Firefox 64.0,,2019-01-10 10:46:36,2019-01-10 10:46:38,2.606s,PASSED
"setText(findTestObject(""OrangeHRCRM/Page_/input_txtUsername""), User)",Firefox 64.0,,2019-01-10 10:46:38,2019-01-10 10:46:38,0.122s,PASSED
"setText(findTestObject(""OrangeHRCRM/Page_/input_txtPassword""), Password)",Firefox 64.0,,2019-01-10 10:46:38,2019-01-10 10:46:39,0.056s,PASSED
"click(findTestObject(""OrangeHRCRM/Page_OrangeHRM/span_Admin""))",Firefox 64.0,,2019-01-10 10:46:39,2019-01-10 10:47:09,30.666s,FAILED
