Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TestSuiteWithExcelFile,Chrome 68.0.3440.106,,2018-08-17 11:08:39,2018-08-17 11:09:07,28.031s,PASSED
,,,,,,
Test Cases/Environments/TC1EnvWithExcelFile,Chrome 68.0.3440.106,,2018-08-17 11:08:39,2018-08-17 11:08:53,14.573s,PASSED
openBrowser,Chrome 68.0.3440.106,,2018-08-17 11:08:39,2018-08-17 11:08:42,2.839s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-08-17 11:08:42,2018-08-17 11:08:44,1.748s,PASSED
setText,Chrome 68.0.3440.106,,2018-08-17 11:08:44,2018-08-17 11:08:44,0.214s,PASSED
setText,Chrome 68.0.3440.106,,2018-08-17 11:08:44,2018-08-17 11:08:44,0.140s,PASSED
click,Chrome 68.0.3440.106,,2018-08-17 11:08:44,2018-08-17 11:08:47,3.064s,PASSED
click,Chrome 68.0.3440.106,,2018-08-17 11:08:47,2018-08-17 11:08:50,2.473s,PASSED
click,Chrome 68.0.3440.106,,2018-08-17 11:08:50,2018-08-17 11:08:52,2.504s,PASSED
click,Chrome 68.0.3440.106,,2018-08-17 11:08:52,2018-08-17 11:08:53,0.676s,PASSED
closeBrowser,Chrome 68.0.3440.106,,2018-08-17 11:08:53,2018-08-17 11:08:53,0.694s,PASSED
,,,,,,
Test Cases/Environments/TC1EnvWithExcelFile,Chrome 68.0.3440.106,,2018-08-17 11:08:53,2018-08-17 11:09:07,13.136s,PASSED
openBrowser,Chrome 68.0.3440.106,,2018-08-17 11:08:53,2018-08-17 11:08:55,2.006s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-08-17 11:08:55,2018-08-17 11:08:57,1.594s,PASSED
setText,Chrome 68.0.3440.106,,2018-08-17 11:08:57,2018-08-17 11:08:57,0.158s,PASSED
setText,Chrome 68.0.3440.106,,2018-08-17 11:08:57,2018-08-17 11:08:57,0.130s,PASSED
click,Chrome 68.0.3440.106,,2018-08-17 11:08:57,2018-08-17 11:09:00,2.954s,PASSED
click,Chrome 68.0.3440.106,,2018-08-17 11:09:00,2018-08-17 11:09:03,2.485s,PASSED
click,Chrome 68.0.3440.106,,2018-08-17 11:09:03,2018-08-17 11:09:05,2.480s,PASSED
click,Chrome 68.0.3440.106,,2018-08-17 11:09:05,2018-08-17 11:09:06,0.615s,PASSED
closeBrowser,Chrome 68.0.3440.106,,2018-08-17 11:09:06,2018-08-17 11:09:07,0.691s,PASSED
